# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-3.205708e-06 3.804133e+00 4.341474e-02)) ((0.000000e+00 0.000000e+00 0.000000e+00) (9.352229e-02 -9.699050e-06 -1.441673e-04))
0.005         	((1.872570e-01 3.709390e+03 4.000749e+03) (-1.833045e-05 3.951072e+00 1.130079e-01)) ((9.829982e+02 3.185295e-01 -1.229313e-01) (9.693722e-02 -7.120151e-06 -3.024772e-05))
0.01          	((6.594883e+00 3.005612e+03 3.299670e+03) (-1.109633e-03 3.227044e+00 2.860823e-01)) ((6.716423e+02 2.011131e-01 -4.738262e-01) (2.537987e-02 -1.213876e-04 1.173997e-03))
0.015         	((1.002310e+01 8.666296e+02 1.907809e+02) (-9.310125e-05 2.461872e+00 3.896093e-01)) ((-1.591788e+02 1.628990e-01 -6.706802e-01) (-2.721218e-02 -1.024601e-03 4.659568e-03))
0.02          	((4.755941e+00 -6.724436e+02 -1.577809e+03) (1.009242e-03 2.379109e+00 3.462675e-01)) ((-5.999494e+02 5.065411e-01 8.778469e-01) (-6.843591e-02 -6.612517e-04 3.815847e-03))
0.025         	((-3.464222e+00 -8.599325e+02 -9.737964e+02) (1.397627e-03 3.041196e+00 3.477856e-01)) ((-4.113998e+02 9.374218e-01 2.753693e+00) (-5.323460e-02 1.409722e-04 3.462311e-03))
0.03          	((-6.508261e+00 -1.907052e+02 5.787139e+02) (8.482090e-04 3.976188e+00 5.793648e-01)) ((2.146619e+01 1.145767e+00 3.131237e+00) (2.604663e-02 6.348703e-04 -7.094240e-04))
0.035         	((-1.244687e+00 5.351615e+02 1.729515e+03) (2.761208e-03 4.552085e+00 9.013564e-01)) ((2.793137e+02 2.975700e-01 1.033852e+00) (5.960096e-02 3.423987e-04 -3.892749e-03))
0.04          	((6.035267e+00 8.326365e+02 1.522688e+03) (9.992645e-04 4.558461e+00 1.120084e+00)) ((1.702692e+02 -4.288477e-01 -7.822145e-01) (-1.181824e-02 1.821837e-04 -4.206231e-03))
0.045         	((8.391943e+00 6.719957e+02 5.785015e+02) (-2.978107e-03 4.387815e+00 1.244821e+00)) ((-1.090974e+02 -4.087635e-01 -1.005042e+00) (-9.165608e-02 8.201281e-04 4.083743e-04))
0.05          	((3.996773e+00 3.479290e+02 1.602216e+01) (1.820784e-03 4.255425e+00 1.253933e+00)) ((-2.592660e+02 2.598253e-01 4.813144e-01) (-1.771118e-01 1.935677e-03 -6.701180e-04))
0.055         	((-2.116094e+00 1.065298e+02 2.079940e+02) (-1.368383e-03 4.308124e+00 1.306004e+00)) ((-1.988912e+02 1.189680e+00 2.045341e+00) (-1.853938e-01 2.750759e-03 1.224273e-03))
0.06          	((-4.675923e+00 5.755096e+01 7.130109e+02) (3.029863e-03 4.523274e+00 1.531154e+00)) ((-5.326974e+01 1.483250e+00 2.025692e+00) (-1.331894e-01 1.608615e-03 -1.729269e-03))
0.065         	((-2.061993e+00 1.659446e+02 1.031002e+03) (4.199898e-03 4.740794e+00 1.846523e+00)) ((3.278462e+01 9.869799e-01 7.229576e-01) (-8.804636e-02 -8.783898e-04 -2.928110e-03))
0.07          	((1.949410e+00 3.117127e+02 1.010265e+03) (5.993514e-03 4.883181e+00 2.133468e+00)) ((1.073982e+01 3.047652e-01 -6.125769e-01) (-8.444852e-02 -1.524560e-03 -3.284466e-03))
0.075         	((3.323084e+00 3.922929e+02 8.308156e+02) (5.615777e-03 4.951332e+00 2.330462e+00)) ((-6.480035e+01 -1.410440e-02 -8.480857e-01) (-1.163018e-01 -1.235093e-03 -3.335335e-03))
0.08          	((1.517897e+00 3.831838e+02 7.304087e+02) (2.723888e-03 4.983547e+00 2.473758e+00)) ((-1.157860e+02 1.584340e-01 -3.823482e-02) (-1.537306e-01 -4.273438e-04 -1.740017e-03))
0.085         	((-1.174355e+00 3.261091e+02 7.708296e+02) (8.397918e-04 5.012851e+00 2.623054e+00)) ((-1.133618e+02 4.801173e-01 8.306808e-01) (-1.708643e-01 2.533127e-04 -1.154451e-03))
0.09          	((-2.278652e+00 2.819722e+02 8.587427e+02) (-9.135527e-04 5.051364e+00 2.803501e+00)) ((-8.159877e+01 6.119100e-01 8.844473e-01) (-1.672972e-01 6.575288e-04 -3.854777e-04))
0.095         	((-1.329681e+00 2.845669e+02 8.956504e+02) (-1.495488e-03 5.098770e+00 2.994868e+00)) ((-5.848079e+01 4.848341e-01 2.543315e-01) (-1.534757e-01 4.620627e-04 -3.197428e-04))
0.1           	((8.865817e-02 3.309689e+02 8.807313e+02) (-4.698099e-04 5.163419e+00 3.171527e+00)) ((-6.109728e+01 2.742570e-01 -3.937089e-01) (-1.427069e-01 1.586960e-04 -8.029076e-04))
0.105         	((7.862443e-01 3.917015e+02 8.698412e+02) (9.061513e-04 5.223715e+00 3.305492e+00)) ((-8.087899e+01 1.711551e-01 -5.253657e-01) (-1.419313e-01 -1.760471e-04 -1.539150e-03))
0.11          	((4.793675e-01 4.391902e+02 8.990557e+02) (1.653943e-03 5.283175e+00 3.423523e+00)) ((-9.972242e+01 2.275460e-01 -2.032471e-01) (-1.491038e-01 -5.140681e-04 -1.699760e-03))
0.115         	((-1.017457e-01 4.616662e+02 9.433285e+02) (1.819529e-03 5.348205e+00 3.550952e+00)) ((-1.075157e+02 3.542429e-01 1.735854e-01) (-1.572658e-01 -5.709075e-04 -1.615218e-03))
0.12          	((-2.205952e-01 4.652942e+02 9.513670e+02) (1.915925e-03 5.417509e+00 3.687342e+00)) ((-1.070050e+02 4.689143e-01 2.958488e-01) (-1.645206e-01 -6.470297e-04 -1.445692e-03))
0.125         	((2.725458e-01 4.665044e+02 9.053873e+02) (1.588569e-03 5.494025e+00 3.814492e+00)) ((-1.063440e+02 5.467874e-01 1.681997e-01) (-1.693326e-01 -7.582191e-04 -1.254025e-03))
0.13          	((9.798658e-01 4.800805e+02 8.359575e+02) (2.477899e-03 5.578447e+00 3.915103e+00)) ((-1.104196e+02 5.955455e-01 -3.737771e-02) (-1.745933e-01 -3.757552e-04 -1.576957e-03))
0.135         	((1.498928e+00 5.090714e+02 7.850319e+02) (2.548050e-03 5.682435e+00 3.993948e+00)) ((-1.181622e+02 6.671247e-01 -8.234365e-02) (-1.828797e-01 -5.032824e-04 -2.145508e-03))
0.14          	((1.587347e+00 5.435976e+02 7.619636e+02) (3.495376e-03 5.806463e+00 4.069421e+00)) ((-1.262029e+02 8.039400e-01 1.060125e-02) (-1.969798e-01 -2.168865e-04 -2.146106e-03))
0.145         	((1.308697e+00 5.688513e+02 7.379745e+02) (4.257298e-03 5.955505e+00 4.156994e+00)) ((-1.329180e+02 1.005710e+00 1.328423e-01) (-2.164052e-01 -2.010224e-04 -2.082633e-03))
0.15          	((1.032601e+00 5.767195e+02 6.795445e+02) (4.443981e-03 6.130360e+00 4.256538e+00)) ((-1.389322e+02 1.231517e+00 1.634072e-01) (-2.426955e-01 -1.374281e-04 -1.633322e-03))
0.155         	((9.223372e-01 5.713843e+02 5.828229e+02) (5.215704e-03 6.329785e+00 4.352944e+00)) ((-1.441743e+02 1.468180e+00 8.457590e-02) (-2.744219e-01 1.210684e-04 -1.723279e-03))
0.16          	((1.092459e+00 5.646575e+02 4.729505e+02) (5.361079e-03 6.553285e+00 4.430214e+00)) ((-1.487131e+02 1.680576e+00 -2.840281e-02) (-3.096342e-01 6.028124e-05 -1.058597e-03))
0.165         	((1.485143e+00 5.662271e+02 3.827233e+02) (6.389904e-03 6.801683e+00 4.486609e+00)) ((-1.511052e+02 1.851155e+00 -8.737108e-02) (-3.433188e-01 2.870040e-04 -9.286705e-04))
