# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (2.164381e-05 3.828567e+00 9.515778e-02)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.567869e-01 -6.576505e-06 -1.396236e-04))
0.005         	((2.030242e-01 5.338483e+03 6.115766e+03) (1.155386e-04 4.001831e+00 1.642607e-01)) ((-1.563541e+03 -7.158827e-02 3.401282e-01) (-1.574526e-01 -1.509232e-05 -2.050336e-04))
0.01          	((1.901396e+00 4.252936e+03 5.200622e+03) (-9.088166e-04 3.278036e+00 2.771576e-01)) ((-1.333825e+03 -3.617163e-01 -2.043696e-01) (-6.385929e-03 -1.108952e-04 9.157438e-04))
0.015         	((4.259370e+00 1.031965e+03 1.212019e+03) (-1.687710e-03 2.404193e+00 3.712936e-01)) ((-5.261782e+02 -1.793873e-01 -6.339600e-01) (1.397457e-01 -3.898320e-04 9.412967e-04))
0.02          	((3.984907e+00 -1.203008e+03 -1.199596e+03) (-6.944141e-04 2.292265e+00 3.963869e-01)) ((-1.053323e+01 3.807483e-01 -8.820537e-02) (8.991673e-02 -3.843857e-04 -8.066118e-05))
0.025         	((1.567542e+00 -1.281023e+03 -6.625225e+02) (-1.245910e-03 3.034026e+00 5.206087e-01)) ((-3.148287e+01 6.587592e-01 6.290467e-01) (-1.457442e-01 -6.078941e-06 -1.282980e-03))
0.03          	((-8.083861e-01 -1.285980e+02 1.142605e+03) (-1.547678e-03 4.132878e+00 7.676333e-01)) ((-3.169986e+02 5.220224e-01 4.841130e-01) (-4.198299e-01 6.963700e-04 -3.439150e-03))
0.035         	((-9.523650e-01 9.354147e+02 2.308540e+03) (-1.119701e-03 4.576261e+00 1.001435e+00)) ((-5.610115e+02 3.395794e-02 -6.579774e-01) (-4.952250e-01 7.717789e-04 -3.496868e-03))
0.04          	((1.708132e-01 1.226502e+03 2.251971e+03) (-4.023145e-03 4.486653e+00 1.254619e+00)) ((-6.553351e+02 -2.818626e-01 -1.693579e+00) (-4.228666e-01 9.021451e-04 -2.158061e-03))
0.045         	((1.224335e+00 8.734537e+02 1.620364e+03) (-1.309521e-02 4.225282e+00 1.445471e+00)) ((-6.329788e+02 -2.326688e-01 -1.781354e+00) (-3.491914e-01 3.095975e-04 -1.461046e-03))
0.05          	((9.508640e-01 3.386681e+02 1.143810e+03) (-3.042454e-03 4.190479e+00 1.578854e+00)) ((-5.484627e+02 -5.511358e-03 -8.223388e-01) (-3.793389e-01 1.568109e-03 -2.446678e-04))
0.055         	((3.307246e-01 1.834869e+01 1.067496e+03) (3.857123e-03 4.407752e+00 1.733978e+00)) ((-4.551716e+02 5.147462e-02 -9.588045e-02) (-4.804319e-01 1.082190e-03 -1.509110e-03))
0.06          	((7.819332e-01 1.297000e+01 1.229479e+03) (1.135851e-02 4.742251e+00 1.911382e+00)) ((-4.029080e+02 -4.130744e-02 3.786921e-01) (-5.937349e-01 8.279910e-04 -2.210648e-03))
0.065         	((2.302763e-01 1.977588e+02 1.387656e+03) (8.076716e-03 4.966894e+00 2.086025e+00)) ((-4.077844e+02 -1.567857e-01 -1.078898e-01) (-6.545217e-01 1.486213e-03 -2.212704e-03))
0.07          	((-5.402224e-01 3.738624e+02 1.417910e+03) (-1.012071e-03 5.063020e+00 2.253265e+00)) ((-4.455804e+02 -2.164473e-01 -8.531490e-01) (-6.632415e-01 2.090405e-03 -1.756387e-03))
