# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (4.208713e-05 3.827651e+00 -9.384997e-02)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-7.266894e-02 -9.581588e-06 -1.575844e-04))
0.005         	((2.060512e+00 3.759240e+03 -7.317752e+02) (5.940294e-05 3.981760e+00 -6.171971e-02)) ((-2.330095e+02 3.059223e-01 2.050353e-01) (-7.754622e-02 -3.018173e-05 -2.000157e-04))
0.01          	((9.927492e+00 2.671352e+03 -3.583788e+02) (3.595198e-04 3.132620e+00 3.183887e-01)) ((-4.030875e+01 9.851237e-02 -7.554063e-01) (2.943573e-03 -1.979873e-04 3.653730e-04))
0.015         	((9.654578e+00 4.128117e+02 4.745689e+02) (1.010929e-03 2.329711e+00 5.915152e-01)) ((2.150009e+02 -1.556577e-01 -1.073060e+00) (7.342481e-02 -2.582222e-04 1.596757e-04))
0.02          	((-1.830832e+00 -9.403256e+02 4.813904e+02) (2.112233e-03 2.292196e+00 5.759021e-01)) ((2.010016e+02 -6.263925e-01 7.949498e-01) (4.219347e-02 7.330794e-05 -2.913461e-04))
0.025         	((-1.130435e+01 -9.650015e+02 1.119441e+02) (3.347952e-03 3.048498e+00 3.215876e-01)) ((3.905673e+01 -5.151054e-01 3.067808e+00) (-9.832323e-02 4.942480e-04 5.169311e-04))
0.03          	((-8.107562e+00 -2.524857e+02 -1.627197e+02) (9.968792e-04 3.935521e+00 1.778904e-01)) ((-8.974701e+01 7.700927e-03 2.844382e+00) (-2.129447e-01 4.009195e-04 1.103091e-03))
0.035         	((4.970733e+00 2.847269e+02 1.962404e+02) (4.214926e-04 4.384107e+00 3.439058e-01)) ((-4.429216e+01 3.269530e-01 1.868343e-01) (-2.538418e-01 -1.748367e-04 1.365706e-03))
0.04          	((1.514491e+01 5.131791e+02 4.036865e+02) (3.920354e-03 4.379093e+00 6.765401e-01)) ((7.546995e+01 -8.240167e-02 -2.214353e+00) (-2.591839e-01 -7.375397e-04 2.755786e-03))
0.045         	((6.098514e+00 4.336978e+02 2.463028e+02) (7.187535e-03 4.274279e+00 9.455388e-01)) ((1.170861e+02 -1.610020e-01 -3.749713e-01) (-2.299971e-01 -1.303389e-03 2.014914e-03))
0.05          	((-6.532344e-01 2.093584e+02 -6.069858e+01) (8.088193e-03 4.257886e+00 9.516389e-01)) ((6.852406e+01 -6.256805e-02 1.805520e+00) (-2.072793e-01 -1.100958e-03 1.149439e-03))
0.055         	((-8.349338e-01 -1.185150e+01 -3.070175e+02) (7.147483e-03 4.394532e+00 7.585089e-01)) ((-9.500042e-02 -4.007493e-02 2.919861e+00) (-2.175257e-01 -3.898744e-04 2.467209e-03))
0.06          	((5.675162e+00 -1.161685e+02 -3.131607e+02) (8.510023e-03 4.572912e+00 5.358097e-01)) ((-1.965162e+01 2.630258e-02 2.715074e+00) (-2.361782e-01 8.786864e-04 3.877707e-03))
0.065         	((1.256409e+01 -8.136412e+01 -1.457232e+02) (1.317023e-02 4.694057e+00 4.401826e-01)) ((1.346301e+01 2.356157e-01 1.625896e+00) (-2.570315e-01 1.492591e-03 5.645341e-03))
0.07          	((1.224958e+01 4.095345e+01 -2.387399e+01) (2.140820e-02 4.692914e+00 4.498571e-01)) ((4.943300e+01 6.213336e-01 5.969466e-01) (-2.698897e-01 1.450355e-03 8.171432e-03))
0.075         	((8.834243e+00 1.392331e+02 -5.205922e+01) (2.853264e-02 4.628513e+00 4.233519e-01)) ((5.161935e+01 9.819408e-01 1.874342e-01) (-2.584256e-01 2.013644e-03 9.822345e-03))
0.08          	((7.729297e+00 1.415527e+02 -1.975802e+02) (3.333907e-02 4.541813e+00 2.654108e-01)) ((1.811084e+01 1.306407e+00 2.875174e-01) (-2.290988e-01 3.295455e-03 1.043526e-02))
0.085         	((1.190063e+01 6.507883e+01 -3.458702e+02) (3.971413e-02 4.418414e+00 -4.296140e-02)) ((-2.601464e+01 1.421263e+00 4.743699e-01) (-1.947498e-01 6.491635e-03 1.346582e-02))
0.09          	((1.664531e+01 -2.337636e+01 -3.890127e+02) (4.707742e-02 4.211355e+00 -4.267708e-01)) ((-4.858142e+01 1.394917e+00 3.753806e-01) (-1.666243e-01 1.006608e-02 1.641792e-02))
0.095         	((1.769641e+01 -6.355487e+01 -3.432984e+02) (5.569330e-02 3.899159e+00 -7.876720e-01)) ((-4.660944e+01 1.593311e+00 -5.046932e-01) (-1.456056e-01 1.273691e-02 1.721054e-02))
0.1           	((1.546556e+01 -4.973905e+01 -2.920214e+02) (6.748727e-02 3.529868e+00 -1.081817e+00)) ((-3.801634e+01 1.899934e+00 -1.982801e+00) (-1.247573e-01 1.617568e-02 1.566145e-02))
0.105         	((1.490359e+01 -2.254910e+01 -2.897595e+02) (8.351820e-02 3.146790e+00 -1.352279e+00)) ((-3.714869e+01 1.723210e+00 -3.071119e+00) (-1.036522e-01 2.124638e-02 1.097958e-02))
0.11          	((1.826455e+01 -2.181828e+01 -3.290353e+02) (1.026565e-01 2.768171e+00 -1.651731e+00)) ((-4.450504e+01 1.247224e+00 -3.367072e+00) (-8.770968e-02 2.360280e-02 3.755565e-03))
0.115         	((2.427571e+01 -5.122991e+01 -3.766083e+02) (1.267404e-01 2.360863e+00 -1.975624e+00)) ((-5.472481e+01 7.289227e-01 -3.267146e+00) (-7.914526e-02 2.454224e-02 -1.910180e-03))
0.12          	((3.036436e+01 -8.451115e+01 -4.077423e+02) (1.532397e-01 1.905522e+00 -2.291956e+00)) ((-6.284615e+01 7.163580e-01 -2.992075e+00) (-7.394557e-02 2.467763e-02 -6.050742e-03))
0.125         	((3.551890e+01 -9.967684e+01 -4.158698e+02) (1.796351e-01 1.421879e+00 -2.586055e+00)) ((-6.657366e+01 1.316267e+00 -2.694776e+00) (-7.578791e-02 2.542072e-02 -9.117904e-03))
0.13          	((4.079159e+01 -9.750710e+01 -4.073441e+02) (2.084756e-01 9.534600e-01 -2.852203e+00)) ((-6.646242e+01 2.068563e+00 -2.422122e+00) (-8.175457e-02 2.802134e-02 -1.230819e-02))
0.135         	((4.673696e+01 -9.109917e+01 -3.963836e+02) (2.355577e-01 5.285986e-01 -3.089242e+00)) ((-6.517450e+01 2.582240e+00 -2.134024e+00) (-8.993699e-02 3.084377e-02 -1.538637e-02))
0.14          	((5.358216e+01 -9.069695e+01 -3.974665e+02) (2.618580e-01 1.512239e-01 -3.284599e+00)) ((-6.600270e+01 2.924394e+00 -1.927437e+00) (-9.134283e-02 3.337638e-02 -1.771819e-02))
