# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (5.307470e-06 3.291258e-01 1.368376e-02)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-2.418926e-02 4.992758e-07 -1.124369e-05))
0.05          	((6.554418e-02 2.295570e+02 1.491718e+02) (2.742423e-05 3.586157e-01 2.459557e-02)) ((-5.581038e+01 -1.006153e-02 2.312632e-02) (-2.589215e-02 -4.551738e-06 -1.794415e-05))
0.1           	((-1.383425e-02 9.740382e+01 6.817349e+01) (-7.874066e-04 1.018149e-01 -2.511832e-02)) ((-2.454640e+01 -1.896195e-02 -8.059770e-03) (5.817104e-02 -2.556685e-04 6.146078e-05))
0.15          	((-4.653818e-02 -5.502161e+01 -3.118315e+01) (-7.849623e-04 -5.916986e-02 -5.252393e-02)) ((1.139514e+01 -1.919788e-02 -1.861508e-02) (9.484826e-02 -2.312344e-04 8.059517e-05))
0.2           	((2.157604e-02 -1.112956e+02 -6.289181e+01) (-1.641099e-04 6.264883e-02 -3.015085e-02)) ((2.613602e+01 -3.537382e-03 -2.525540e-03) (2.723084e-02 -3.263144e-05 -5.705848e-05))
0.25          	((8.006611e-02 -4.884017e+01 -2.329772e+01) (5.436916e-05 2.896649e-01 3.655677e-02)) ((1.151887e+01 9.939076e-03 3.554154e-03) (-5.628624e-02 2.710224e-05 -2.875970e-04))
0.3           	((7.920105e-02 3.038203e+01 2.641651e+01) (-1.853291e-04 4.960831e-01 9.660943e-02)) ((-7.533071e+00 1.438987e-02 1.246894e-02) (-1.108552e-01 -3.450321e-05 -4.382639e-04))
0.35          	((-2.715628e-03 6.444292e+01 4.501307e+01) (-2.996486e-04 4.359516e-01 7.988468e-02)) ((-1.663971e+01 2.453923e-03 -3.347181e-04) (-7.502064e-02 -8.660719e-05 -1.891146e-04))
0.4           	((-9.390761e-02 4.562309e+01 2.992436e+01) (-1.805056e-04 2.981581e-01 4.344319e-02)) ((-1.320566e+01 -1.331065e-02 -1.598260e-02) (-1.936978e-02 -8.452537e-05 -2.769073e-05))
0.45          	((-7.538256e-02 7.817175e+00 6.597597e+00) (-3.662621e-04 1.930265e-01 1.981236e-02)) ((-4.681292e+00 -1.743689e-02 -2.295177e-02) (1.307331e-02 -7.131545e-05 -9.547526e-05))
0.5           	((-1.582874e-03 -1.416944e+01 -4.545292e+00) (-2.530898e-04 1.663481e-01 2.480950e-02)) ((9.875223e-01 -9.256521e-03 -1.079896e-02) (9.994435e-03 -2.532165e-05 -1.908064e-04))
0.55          	((5.396680e-02 -1.131387e+01 -2.446716e-01) (-6.145469e-05 2.039270e-01 4.684921e-02)) ((1.162282e+00 5.357882e-03 1.050406e-02) (-1.211830e-02 2.425647e-06 -1.454986e-04))
0.6           	((6.493997e-02 4.769605e+00 1.034305e+01) (-2.456062e-05 2.628517e-01 7.055595e-02)) ((-2.283902e+00 1.602202e-02 2.360788e-02) (-3.332014e-02 7.845973e-06 -2.174214e-04))
0.65          	((3.139546e-03 1.665319e+01 1.668671e+01) (-2.133620e-04 2.826605e-01 7.852392e-02)) ((-5.324591e+00 6.469745e-03 1.014158e-02) (-3.639753e-02 -2.047080e-05 -1.919800e-04))
0.7           	((-6.102613e-02 1.719673e+01 1.558206e+01) (-4.685431e-04 2.693361e-01 7.714262e-02)) ((-5.905000e+00 -4.498075e-03 -7.174414e-03) (-2.842428e-02 -8.098387e-05 -2.328734e-04))
0.75          	((-7.093934e-02 1.008103e+01 1.061319e+01) (-3.749157e-04 2.459042e-01 7.562385e-02)) ((-4.489250e+00 -1.044834e-02 -1.755501e-02) (-2.016544e-02 -2.050914e-05 -1.349701e-04))
0.8           	((-2.107530e-02 3.345765e+00 6.789703e+00) (-3.963092e-04 2.307585e-01 7.840864e-02)) ((-2.823955e+00 -7.665168e-03 -1.277291e-02) (-1.762959e-02 -2.668034e-05 -9.202865e-05))
0.85          	((2.507534e-02 1.755060e+00 6.361297e+00) (-2.988207e-04 2.282016e-01 8.481164e-02)) ((-2.152481e+00 -1.110157e-03 -1.422268e-03) (-2.013195e-02 1.771601e-05 -5.022171e-05))
0.9           	((2.075723e-02 4.568868e+00 8.316660e+00) (-2.658130e-04 2.327055e-01 9.048590e-02)) ((-2.570587e+00 2.251594e-03 3.839577e-03) (-2.351886e-02 1.997716e-05 -3.306128e-05))
0.95          	((-1.279555e-02 8.020898e+00 1.032921e+01) (-1.359790e-04 2.347954e-01 9.324197e-02)) ((-3.348391e+00 1.771904e-03 2.058419e-03) (-2.454048e-02 4.351830e-05 -3.302877e-05))
1             	((-3.746192e-02 9.196558e+00 1.075728e+01) (-2.043856e-04 2.312754e-01 9.369617e-02)) ((-3.734420e+00 -1.061654e-04 -2.515126e-03) (-2.282802e-02 3.587433e-05 -2.388661e-05))
1.05          	((-4.792256e-02 7.872465e+00 9.667203e+00) (-2.635174e-04 2.257746e-01 9.413998e-02)) ((-3.506991e+00 -3.606900e-03 -9.214300e-03) (-2.069317e-02 8.684898e-06 -4.069594e-05))
1.1           	((-3.637983e-02 5.829189e+00 8.256240e+00) (-2.382217e-04 2.211203e-01 9.555615e-02)) ((-2.984570e+00 -5.589961e-03 -1.211607e-02) (-1.956797e-02 -2.194352e-06 -5.058169e-05))
1.15          	((-2.163320e-02 4.797100e+00 7.555742e+00) (-2.036511e-04 2.185965e-01 9.754079e-02)) ((-2.605271e+00 -5.868400e-03 -1.080184e-02) (-1.953697e-02 7.771138e-07 -5.448104e-05))
1.2           	((-1.870183e-02 5.169423e+00 7.730172e+00) (-1.629427e-04 2.177198e-01 9.924732e-02)) ((-2.557333e+00 -5.443241e-03 -8.191257e-03) (-1.985592e-02 1.239580e-05 -4.300773e-05))
1.25          	((-2.473603e-02 6.154938e+00 8.285011e+00) (-1.499368e-04 2.168676e-01 9.996713e-02)) ((-2.729505e+00 -4.580110e-03 -6.516798e-03) (-1.977586e-02 2.265437e-05 -3.304179e-05))
1.3           	((-3.573113e-02 6.773103e+00 8.602968e+00) (-1.805880e-04 2.150267e-01 9.988616e-02)) ((-2.884866e+00 -4.498967e-03 -7.493768e-03) (-1.907433e-02 1.827143e-05 -3.305829e-05))
